Timestamp,Timestamp (ms),accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,strain,analog_0,analog_1,current,enc-disp,enc-cont,enc-comm,VB,VG,Temp,Status1,Status2
Mon Sep 26 15:14:40 2016,2227,-16948,-7804,13618,2618,15502,-193,11986,1019,972,436,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2237,-21746,-2410,32226,1599,13339,-252,11931,1022,964,443,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2247,-26626,18888,32767,-1096,10258,-842,11962,1045,978,448,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2257,-32768,12178,10060,-4672,6750,-1923,11981,1054,1005,437,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2267,-246,-19316,18036,-2417,5230,-3032,12311,1052,1008,441,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2277,-650,-10848,5808,-1579,2487,-1302,11941,1055,1011,435,0,0,0,199,206,132,2,1
Mon Sep 26 15:14:40 2016,2286,-10254,8788,8368,-2405,2494,-1021,12092,1055,1013,438,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2297,-6588,360,7498,-2195,914,-1315,12170,1055,1014,440,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2306,-5914,458,7048,-1838,293,-1150,13235,1061,1015,438,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2317,-5188,134,8082,-1027,-141,-652,13327,1062,1016,440,0,0,0,199,206,132,2,1
Mon Sep 26 15:14:40 2016,2327,-4188,1366,7352,-942,-228,-629,13313,1060,1016,437,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:40 2016,2336,-3494,732,7126,-791,-216,-590,13316,1060,1016,438,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:40 2016,2347,-3908,564,7640,-600,-156,-505,13304,1059,1015,438,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:40 2016,2357,-3826,318,7504,-562,-177,-491,13306,1060,1016,440,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:40 2016,2368,-3086,164,7460,-517,-40,-422,13308,1058,1016,442,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:40 2016,2378,-4390,1098,7332,-645,68,-484,13305,1058,1016,439,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:40 2016,2388,-2584,410,7410,-425,97,-274,13299,1057,1016,438,0,0,0,199,206,132,2,1
Mon Sep 26 15:14:40 2016,2398,-3210,662,7632,-405,523,-203,13175,1054,1014,442,0,0,0,199,206,132,2,1


